,services,details
10,Joint reconstructions,"Hospital treatment for surgery for joint reconstructions.  For example: torn tendons, rotator cuff tears and damaged ligaments. Joint replacements are listed separately under Joint replacements. Bone fractures are listed separately under Bone, joint and muscle. Procedures to the spinal column are listed separately under Back, neck and spine. Podiatric surgery performed by a registered podiatric surgeon is listed separately under Podiatric surgery (provided by a registered podiatric surgeon). "
11,Kidney and bladder,"Hospital treatment for the investigation and treatment of the kidney, adrenal gland and bladder.  For example: kidney stones, adrenal gland tumour and incontinence. Dialysis is listed separately under Dialysis for chronic kidney failure.  "
12,Male reproductive system,"Hospital treatment for the investigation and treatment of the male reproductive system including the prostate.  For example: male sterilisation, circumcision and prostate cancer. Chemotherapy and radiotherapy for cancer is listed separately under Chemotherapy, radiotherapy and immunotherapy for cancer. "
13,Digestive system,"Hospital treatment for the investigation and treatment of the digestive system, including the oesophagus, stomach, gall bladder, pancreas, spleen, liver and bowel. For example: oesophageal cancer, irritable bowel syndrome, gall stones and haemorrhoids. Endoscopy is listed separately under Gastrointestinal endoscopy. Hernia and appendicectomy procedures are listed separately under Hernia and appendix. Bariatric surgery is listed separately under Weight loss surgery.  "
14,Hernia and appendix,Hospital treatment for the investigation and treatment of a hernia or appendicitis. Digestive conditions are listed separately under Digestive system. 
15,Gastrointestinal endoscopy,"Hospital treatment for the diagnosis, investigation and treatment of the internal parts of the gastrointestinal system using an endoscope.  For example: colonoscopy, gastroscopy, endoscopic retrograde cholangiopancreatography (ERCP) Non-endoscopic procedures for the digestive system are listed separately under Digestive system.. "
16,Gynaecology,"Hospital treatment for the investigation and treatment of the female reproductive system.  For example: endometriosis, polycystic ovaries, female sterilisation and cervical cancer. Fertility treatments are listed separately under Assisted reproductive services. Pregnancy and birth-related conditions are listed separately under Pregnancy and birth. Miscarriage or termination of pregnancy is listed separately under Miscarriage and termination of pregnancy.  "
17,Miscarriage and termination of pregnancy,Hospital treatment for the investigation and treatment of a miscarriage or for termination of pregnancy.
18,"Chemotherapy, radiotherapy and immunotherapy for cancer","Hospital treatment for chemotherapy, radiotherapy and immunotherapy for the treatment of cancer or benign tumours.                Surgical treatment of cancer is listed separately under each body system.    We will only pay towards cancer-related surgery related to an Included service under your cover.                               "
19,Pain management,Hospital treatment for pain management that does not require the insertion or surgical management of a device.  For example: treatment of nerve pain and chest pain due to cancer by injection of a nerve block. Pain management using a device (for example an infusion pump or neurostimulator) is listed separately under Pain management with device. 
20,Skin,"Hospital treatment for the investigation and treatment of skin, skin-related conditions and nails. The removal of foreign bodies is also included. Plastic surgery that is medically necessary and relating to the treatment of a skin-related condition is also included.  For example: melanoma, minor wound repair and abscesses. Removal of excess skin due to weight loss is listed separately under Weight loss surgery.  "
21,Breast surgery (medically necessary),"Hospital treatment for the investigation and treatment of breast disorders and associated lymph nodes, and reconstruction and/or reduction following breast surgery or a preventative mastectomy.  For example: breast lesions, breast tumours, asymmetry due to breast cancer surgery, and gynecomastia. This clinical category does not require benefits to be paid for cosmetic breast surgery that is not medically necessary.  "
22,Diabetes management (excluding insulin pumps),"Hospital treatment for the investigation and management of diabetes.  For example: stabilisation of hypo- or hyper- glycaemia, contour problems due to insulin injections. Treatment for diabetes-related conditions is listed separately under each body system affected. For example, treatment for diabetes-related eye conditions is listed separately under Eye. Treatment for ulcers is listed separately under Skin. Provision and replacement of insulin pumps is listed separately under Insulin pumps. "
23,Heart and vascular system,"Hospital treatment for the investigation and treatment of the heart, heart-related conditions and vascular system.  For example: heart failure and heart attack, monitoring of heart conditions, varicose veins and removal of plaque from arterial walls. Chemotherapy and radiotherapy for cancer is listed separately under Chemotherapy, radiotherapy and immunotherapy for cancer. "
24,Lung and chest,"Hospital treatment for the investigation and treatment of the lungs, lung-related conditions, mediastinum and chest.  For example: lung cancer, respiratory disorders such as asthma, pneumonia, and treatment of trauma to the chest. Chemotherapy and radiotherapy for cancer is listed separately under Chemotherapy, radiotherapy and immunotherapy for cancer. "
25,Blood,"Hospital treatment for the investigation and treatment of blood and blood-related conditions.    For example: blood clotting disorders and bone marrow transplants.  Treatment for cancers of the blood is listed separately under Chemotherapy, radiotherapy and immunotherapy for cancer.   "
26,"Back, neck and spine","Hospital treatment for the investigation and treatment of the back, neck and spinal column, including spinal fusion.  For example: sciatica, prolapsed or herniated disc, and spine curvature disorders such as scoliosis, kyphosis and lordosis. Joint fusions are listed separately under Bone, joint and muscle. Spinal cord conditions are listed separately under Brain and nervous system. Management of back pain is listed separately under Pain management. Pain management that requires a device is listed separately under Pain management with device.  "
27,Plastic and reconstructive surgery  (medically necessary),"Hospital treatment which is medically necessary for the investigation and treatment of any physical deformity, whether acquired as a result of illness or accident, or congenital.  For example: burns requiring a graft, cleft palate, club foot and angioma. Plastic surgery that is medically necessary relating to the treatment of a skin-related condition is listed separately under Skin.  "
28,Dental surgery,"Hospital treatment for surgery to the teeth and gums.    For example: surgery to remove wisdom teeth and dental implant surgery. For Dental surgery performed by a dentist rather than a medical practitioner we only pay benefits towards hospital charges. If the surgery is performed by a medical practitioner and an MBS item number is billed, we will pay benefits towards the hospital and medical charges.   "
29,Podiatric surgery (provided by a registered podiatric surgeon),"Hospital treatment for the investigation and treatment of conditions affecting the foot and/or ankle, provided by a registered podiatric surgeon, but limited to benefits towards: • accommodation; and • the cost of a prosthesis as listed in the prostheses list set out in the Private Health Insurance (Prostheses) Rules, as in force from time to time.  For Podiatric surgery we only pay benefits towards hospital charges. There are no MBS items for podiatric surgery. This means we also don’t pay any benefits towards the podiatric surgeon’s fees under Hospital cover and you could incur significant out-of-pocket expenses.   "
30,Implantation of hearing devices,"Hospital treatment to correct hearing loss, including implantation of a prosthetic hearing device. Stapedectomy is listed separately under Ear, nose and throat. "
31,Cataracts,Hospital treatment for surgery to remove a cataract and replace with an artificial lens.
32,Joint replacements,"Hospital treatment for surgery for joint replacements, including revisions, resurfacing, partial replacements and removal of prostheses.  For example: replacement of shoulder, wrist, finger, hip, knee, ankle, or toe joint. Joint fusions are listed separately under Bone, joint and muscle. Spinal fusions are listed separately under Back, neck and spine. Joint reconstructions are listed separately under Joint reconstructions. Podiatric surgery performed by a registered podiatric surgeon is listed separately under Podiatric surgery (provided by a registered podiatric surgeon). "
33,Dialysis for chronic kidney failure,Hospital treatment for dialysis treatment for chronic kidney failure. For example: peritoneal dialysis and haemodialysis.
34,Pregnancy and birth,Hospital treatment for investigation and treatment of conditions associated with pregnancy and child birth. Treatment for the baby is included under the clinical category relevant to their condition. Female reproductive conditions are listed separately under Gynaecology. Fertility treatments are listed separately under Assisted reproductive services. Miscarriage and termination of pregnancy is listed separately under Miscarriage and termination of pregnancy. 
35,Weight loss surgery,"Hospital treatment for surgery that is designed to reduce a person’s weight, remove excess skin due to weight loss and reversal of a bariatric procedure.  For example: gastric banding, gastric bypass and sleeve gastrectomy. "
36,Insulin pumps,Hospital treatment for the provision and replacement of insulin pumps for treatment of diabetes.
37,Pain management with device,"Hospital treatment for the implantation, replacement or other surgical management of a device required for the treatment of pain.  For example: treatment of nerve pain, back pain, and pain caused by coronary heart disease with a device (for example an infusion pump or neurostimulator). Treatment of pain that does not require a device is listed separately under Pain management. "
38,Sleep studies,Hospital treatment for the investigation of sleep patterns and anomalies. For example: sleep apnoea and snoring.
